"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Entity/Consumer.php:119","A description of the consumer. This text will be shown to the users to authorize sharing their data to create an access token.","","","False","","",""
"consumers.post_update.php:42","A flag indicating whether this is the default translation.","Eine Kennzeichnung, die angibt, ob es sich um die Standardübersetzung handelt.","","False","","",""
"consumers.links.action.yml:0","Add Consumer","","","False","","",""
"consumers.permissions.yml:0","Administer Consumer entities","","","False","","",""
"consumers.permissions.yml:0","Allow to access the administration form to configure Consumer entities.","","","False","","",""
"src/Entity/Form/MakeDefaultForm.php:16","Are you sure you want to make %consumer the default consumer?","","","False","","",""
"consumers.info.yml:0","Authentication","Authentifizierung","","False","","",""
"src/Entity/Consumer.php:16","Consumer","","","False","","",""
"consumers.links.menu.yml:0","Consumers","","","False","","",""
"consumers.post_update.php:52","Consumers have been converted to be translatable.","","","False","","",""
"consumers.permissions.yml:0","Create new Consumer entities","","","False","","",""
"src/Entity/Form/ConsumerForm.php:31","Created the %label Consumer.","","","False","","",""
"consumers.info.yml:0","Declare all the consumers of your API","","","False","","",""
"src/ConsumerListBuilder.php:46","Default","","","False","","",""
"consumers.post_update.php:41","Default translation","Standardübersetzung","","False","","",""
"consumers.permissions.yml:0","Delete Consumer entities","","","False","","",""
"src/Entity/Consumer.php:118","Description","Beschreibung","","False","","",""
"consumers.permissions.yml:0","Edit Consumer entities","","","False","","",""
"src/ConsumerListBuilder.php:20","Is Default?","","","False","","",""
"src/Entity/Consumer.php:155","Is this consumer 3rd party?","","","False","","",""
"src/Entity/Consumer.php:170","Is this the default consumer?","","","False","","",""
"src/Entity/Consumer.php:101","Label","Beschriftung","","False","","",""
"consumers.post_update.php:27","Language","Sprache","","False","","",""
"src/Entity/Consumer.php:134","Logo","","","False","","",""
"src/Entity/Consumer.php:135","Logo of the consumer.","","","False","","",""
"src/Entity/Form/MakeDefaultForm.php:37","Make Default","","","False","","",""
"src/Entity/Consumer.php:156","Mark this if the organization behind this consumer is not the same as the one behind the Drupal API.","","","False","","",""
"consumers.links.menu.yml:0","Register and configure the decoupled consumers to your API.","","","False","","",""
"src/Entity/Form/ConsumerForm.php:37","Saved the %label Consumer.","","","False","","",""
"src/Negotiator.php:70","The ""_consumer_id"" query string parameter is deprecated and it will be removed in the next major version of the module, please use ""consumerId"" instead.","","","False","","",""
"src/Entity/Form/MakeDefaultForm.php:23","The consumer currently marked as default will lose this property, since there can only be one default consumer. This may break current assumptions in existing client-side applications.","","","False","","",""
"src/Entity/Consumer.php:102","The consumer label.","","","False","","",""
"src/Entity/Consumer.php:171","There can only be one default consumer. Mark this to use this consumer when none other applies.","","","False","","",""
"src/ConsumerListBuilder.php:18","UUID","UUID","","False","","",""
"src/EntityOwnerTrait.php:42","User ID","","","False","","",""
"consumers.permissions.yml:0","View Consumer entities","","","False","","",""
