"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/InformBlockDeleteForm.php:43","'%label has been deleted.'","'%label wurde gelöscht.'","",FALSE,"","",""
"src/Form/DataPolicyAgreement.php:193","'@name field is required.'","Das Feld @name ist erforderlich.","",FALSE,"","",""
"src/Entity/DataPolicy.php:231","A boolean indicating whether the Data policy is published.","","",FALSE,"","",""
"src/Entity/UserConsent.php:177","A boolean indicating whether the User consent is published.","","",FALSE,"","",""
"data_policy.module:22","About","Info","",FALSE,"","",""
"data_policy.permissions.yml:0","Access to inform and consent settings page.","","",FALSE,"","",""
"src/Form/DataPolicyForm.php:31","Active","Aktiv","",FALSE,"","",""
"src/Controller/DataPolicy.php:139","Active revisions","","",FALSE,"","",""
"data_policy.routing.yml:0;0","Add","","",FALSE,"","",""
"data_policy.links.action.yml:0","Add new entity","","",FALSE,"","",""
"data_policy.links.action.yml:0","Add new revision","Neue Version hinzufügen","",FALSE,"","",""
"data_policy.routing.yml:0","Add page","","",FALSE,"","",""
"data_policy.permissions.yml:0","Administer Data policy entities","","",FALSE,"","",""
"data_policy.permissions.yml:0","Administer Data policy settings","","",FALSE,"","",""
"data_policy.permissions.yml:0","Administer inform and consent settings","","",FALSE,"","",""
"src/Form/DataPolicyRevisionRevertForm.php:110","After making this revision active users will be asked again to agree with this revision.","","",FALSE,"","",""
"src/Plugin/views/filter/UserConsentState.php:26","Agree","","",FALSE,"","",""
"src/Form/DataPolicyAgreement.php:123","Agreement to the data policy is required for continue using this platform. If you do not agree with the data policy, you will be guided to @url process.","","",FALSE,"","",""
"data_policy.permissions.yml:0","Allow a user continue using a website without giving consent on a current version of data policy.","","",FALSE,"","",""
"data_policy.permissions.yml:0","Allow to access the administration form to configure Data policy entities.","","",FALSE,"","",""
"data_policy.permissions.yml:0","Allows the user to configure the texts that are displayed to the user.","","",FALSE,"","",""
"src/Form/InformBlockDeleteForm.php:18","Are you sure you want to delete %name?","Möchtest du %name wirklich löschen?","",FALSE,"","",""
"src/Form/DataPolicyRevisionDeleteForm.php:87","Are you sure you want to delete the data policy revision from %revision-date?","","",FALSE,"","",""
"src/Form/DataPolicyRevisionRevertTranslationForm.php:79","Are you sure you want to revert @language translation to the revision from %revision-date?","Möchten Sie die Übersetzung in @language wirklich auf die Revision vom %revision-date zurückgesetzten?","",FALSE,"","",""
"src/Form/DataPolicyRevisionRevertForm.php:87","Are you sure you want to revert to the revision from %revision-date?","Möchten Sie wirklich zu der Version vom %revision-date zurückkehren?","",FALSE,"","",""
"src/Entity/UserConsent.php:137","Authored by","Geschrieben von","",FALSE,"","",""
"config/schema/data_policy.schema.yml:0","Body","Textkörper","",FALSE,"","",""
"data_policy.permissions.yml:0","Change inform and consent setting status","","",FALSE,"","",""
"src/Entity/UserConsent.php:186","Changed","Geändert","",FALSE,"","",""
"src/Form/DataPolicySettingsForm.php:37","Consent text","","",FALSE,"","",""
"src/Form/DataPolicyRevisionRevertForm.php:131","Copy of the revision from %date.","Kopie der Revision vom %date.","",FALSE,"","",""
"modules/data_policy_export/src/Plugin/Action/ExportDataPolicy.php:173","Could not save the export file on: %name.","","",FALSE,"","",""
"modules/data_policy_export/src/Plugin/Action/ExportDataPolicy.php:172","Could not save the export file.","","",FALSE,"","",""
"data_policy.info.yml:0","Create data policies and track user agreements as well as informing users.","","",FALSE,"","",""
"src/Form/DataPolicyForm.php:40","Create new revision","Neue Revision erstellen","",FALSE,"","",""
"src/Entity/UserConsent.php:182","Created","Erstellt","",FALSE,"","",""
"src/Form/DataPolicyForm.php:83","Created new revision.","","",FALSE,"","",""
"modules/data_policy_export/data_policy_export.info.yml:0","Creates the possibility to export data policies to CSV as a bulk action.","","",FALSE,"","",""
