"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"sendgrid_integration.install:44","API Key Not Set","","","False","","",""
"src/Form/SendGridSettingsForm.php:88;96","API Secret Key","","","False","","",""
"sendgrid_integration.install:56","API Secret Key saved","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","API key","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.routing.yml:0","Administer SendGrid Integration Reports","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.permissions.yml:0","Administer SendGrid Reports","","","False","","",""
"sendgrid_integration.permissions.yml:0","Administer SendGrid settings","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:101","Aggregation of data. Defaults to day.","","","False","","",""
"src/Form/SendGridSettingsForm.php:70","Authentication","","","False","","",""
"src/Form/SendGridTestForm.php:120","Body","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:235","Browser","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:239","Browser Statistics","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:214","Change your settings","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:212","Clear your cache","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:236","Click Count","","","False","","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Clicks","","","False","","",""
"sendgrid_integration.links.menu.yml:0","Configure SendGrid Integration settings.","","","False","","",""
"sendgrid_integration.permissions.yml:0","Configure SendGrid options like username and password.","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:73","Data and responses from Sendgrid are cached for performance reasons. If you make changes to these settings charts cache will be dropped automatically.","","","False","","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0;0","Date","","","False","","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Delivered","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:255","Device","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:259","Device Statistics","","","False","","",""
"src/Plugin/Mail/SendGridMail.php:195","Email was not sent because send value was disabled.","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:92","End date in the format of mm/dd/YYYY. Defaults to today.","","","False","","",""
"src/Form/SendGridTestForm.php:82","From name","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:98","Global Stats Aggregation","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:88","Global Stats End Date","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:79","Global Stats Start Date","","","False","","",""
"src/Form/SendGridTestForm.php:115","If checked, the Drupal icon will be included as an attachment with the test email.","","","False","","",""
"src/Form/SendGridTestForm.php:113","Include attachment","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.info.yml:0","Mail","","","False","","",""
"src/Plugin/Mail/SendGridMail.php:138","No API Secret key has been set","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:256","Open Count","","","False","","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Opens","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.permissions.yml:0","Perform administration functions on the SendGrid Reports module.","","","False","","",""
"sendgrid_integration.info.yml:0","Provides Sendgrid Integration for the Drupal Mail System","","","False","","",""
"src/Form/SendGridTestForm.php:101","Reply-To","","","False","","",""
"src/Form/SendGridTestForm.php:128","Send test message","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:210","SendGrid Dashboard","","","False","","",""
"sendgrid_integration.info.yml:0","SendGrid Integration","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.info.yml:0","SendGrid Integration Reports","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.info.yml:0","SendGrid Integration Reports Module","","","False","","",""
"sendgrid_integration.install:43;54","SendGrid Integration Settings","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:78","SendGrid Module is not setup with API key.","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.links.task.yml:0","SendGrid Reports","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.routing.yml:0","SendGrid Reports Dashboard","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:169","SendGrid Reports module failed to receive data. HTTP Error Code @errno","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:170","SendGrid Reports module failed to receive data. See logs.","","","False","","",""
"src/Plugin/QueueWorker/SendGridQueue.php:10","SendGrid Resend queue","","","False","","",""
"sendgrid_integration.routing.yml:0","SendGrid Settings","","","False","","",""
"sendgrid_integration.routing.yml:0","SendGrid Test Email Send","","","False","","",""
"sendgrid_integration.links.task.yml:0","SendGrid email test","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.install:17","SendGrid settings","","","False","","",""
"src/Form/SendGridTestForm.php:171","SendGrid test email sent from %from to %to.","","","False","","",""
"src/Plugin/Mail/SendGridMail.php:20","Sendgrid Integration","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:220","Sending Volume","","","False","","",""
"src/Plugin/Mail/SendGridMail.php:524","Sending emails to Sendgrid service failed with error message %message.","","","False","","",""
"src/Plugin/Mail/SendGridMail.php:20","Sends the message using Sendgrid API.","","","False","","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Spam","","","False","","",""
"modules/sendgrid_integration_reports/js/sendgrid_integration_reports.js:0","Spam Drops","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:224","Spam Reports","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:83","Start date in the format of mm/dd/YYYY. Defaults to 30 days back.","","","False","","",""
"src/Form/SendGridTestForm.php:107","Subject","Betreff","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","Test defaults","","","False","","",""
"src/Plugin/Mail/SendGridMail.php:397","The %header of your message is not supported by SendGrid and will be sent as text/plain instead.","","","False","","",""
"modules/sendgrid_integration_reports/src/Form/SendGridReportsSettingsForm.php:116","The %start could not be later than %end.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The address to send the test mail.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The body format and value of the test message.","","","False","","",""
"modules/sendgrid_integration_reports/src/Controller/SendGridReportsController.php:208","The following reports are the from the Global Statistics provided by SendGrid. For more comprehensive data, please visit your @dashboard. @cache to ensure the data is current. @settings to alter the time frame of this data.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The format of the body of the test message.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The from name for the test mail.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The name to address the test mail.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The reply to address for the test mail.","","","False","","",""
"src/Form/SendGridSettingsForm.php:89","The secret key of your key pair. These are only generated once by Sendgrid.","","","False","","",""
"src/Form/SendGridSettingsForm.php:97","The secret key of your key pair. These are only generated once by Sendgrid. Your existing key is hidden. If you need to change this, provide a new key here.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The subject of the test mail.","","","False","","",""
"config/schema/sendgrid_integration.schema.yml:0","The value of the body of the test message.","","","False","","",""
"src/Form/SendGridTestForm.php:88","To","","","False","","",""
"src/Form/SendGridTestForm.php:95","To Name","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.links.menu.yml:0","View the SendGrid reports that have recently been logged.","","","False","","",""
"modules/sendgrid_integration_reports/sendgrid_integration_reports.install:15","You can configure SendGrid settings under Administer > Configuration > @link","","","False","","",""
"src/Form/SendGridSettingsForm.php:116","You have not stored an API Secret Key.","","","False","","",""
"src/Form/SendGridSettingsForm.php:78","You have saved a secret key. You may change the key by inputing a new one in the field directly below.","","","False","","",""
"sendgrid_integration.install:46","You need to <a href=""@url"">add a SendGrid API Secret Key</a> for Drupal to be able to deliver mail through SendGrid Integration.","","","False","","",""
