"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/schema/r4032login.schema.yml:0","/user/login","","","False","","",""
"src/Form/SettingsForm.php:40","301 Moved Permanently","","","False","","",""
"src/Form/SettingsForm.php:39","302 Found","","","False","","",""
"src/Form/SettingsForm.php:38","307 Temporary Redirect","","","False","","",""
"config/install/r4032login.settings.yml:0","Access denied. Check with your site administrator if you need assistance.","","","False","","",""
"config/install/r4032login.settings.yml:0","Access denied. You must log in to view this page.","Kein Zugriff. Du musst dich einloggen, um diese Seite zu sehen.","","False","","",""
"src/Form/SettingsForm.php:47","Add <code>X-Robots-Tag: noindex</code> header","","","False","","",""
"config/schema/r4032login.schema.yml:0","Add noindex header","","","False","","",""
"r4032login.permissions.yml:0","Administer r4032login","","","False","","",""
"src/Form/SettingsForm.php:61","Allow redirect for listed pages","","","False","","",""
"config/schema/r4032login.schema.yml:0","Allow to negate the redirect pages condition","","","False","","",""
"r4032login.permissions.yml:0","Allows a user to configure r4032login.","","","False","","",""
"r4032login.links.task.yml:0","Anonymous behavior","","","False","","",""
"r4032login.links.task.yml:0","Authenticated behavior","","","False","","",""
"src/Form/AuthenticatedSettingsForm.php:87","Authenticated user 'access denied' message","","","False","","",""
"src/Form/AuthenticatedSettingsForm.php:100","Authenticated user 'access denied' message type","","","False","","",""
"r4032login.links.menu.yml:0","Configure r4032login.","","","False","","",""
"config/schema/r4032login.schema.yml:0","Custom final destination parameter","","","False","","",""
"src/Form/AnonymousSettingsForm.php:82","Destination parameter override","","","False","","",""
"src/Form/AuthenticatedSettingsForm.php:81","Display access denied message on authenticated landing page","","","False","","",""
"src/Form/AnonymousSettingsForm.php:88","Display access denied message on login page","Nachricht bei Zugriffsverweigerung ausgeben, zur Anmeldeseite weiterleiten.","","False","","",""
"src/Form/AnonymousSettingsForm.php:89","Displays an access denied message on the user login page.","Zeige eine Zugriff verweigert Nachricht auf der Benutzeranmeldeseite.","","False","","",""
"src/Form/AuthenticatedSettingsForm.php:104","Error","Fehler","","False","","",""
"src/Form/SettingsForm.php:35","HTTP redirect code","","","False","","",""
"src/Form/AuthenticatedSettingsForm.php:69","If an authenticated user tries to access a page they can not, redirect them to the given page. Use &lt;front&gt; for the front page, leave blank for a default access denied page.","","","False","","",""
"src/Form/AuthenticatedSettingsForm.php:75","If an authenticated user tries to access a page they can not, throws a 404 error (not found). Note that this will cancel the redirect option if set above.","","","False","","",""
"src/Form/AnonymousSettingsForm.php:72","If anonymous user tries to access a page they can not, redirect them to the given page. Include the leading slash, i.e.: /user/login.","","","False","","",""
"config/schema/r4032login.schema.yml:0","Language code","Sprachkürzel","","False","","",""
"config/schema/r4032login.schema.yml:0","Listed pages for which to redirect or not","","","False","","",""
