"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_pwa.module:217","<h5>Current device</h5>","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:181","<u>When the site is being launched from the homescreen, you can launch it in:</u></br><b>Fullscreen:</b><i> This will cover up the entire display of the device.</i></br><b>Standalone:</b> <i>(default) Kind of the same as Fullscreen, but only shows the top info bar of the device. (Telecom provider, time, battery etc.)</i></br><b>Browser:</b> <i>It will simply just run from the browser on your device with all the user interface elements of the browser.</i>","","",FALSE,"","",""
"modules/activity_send_push/src/Plugin/ActivitySend/PushActivitySend.php:7","Action that is triggered when a entity is created","","",FALSE,"","",""
"modules/activity_send_push/activity_send_push.info.yml:0","Activity Send Web Push","","",FALSE,"","",""
"social_pwa.permissions.yml:0","Administer PWA and Push notification settings","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:159","Advanced settings","","",FALSE,"","",""
"social_pwa.permissions.yml:0","Allows access to administering settings for Progressive Web App and Push notifications.","","",FALSE,"","",""
"social_pwa.permissions.yml:0","Allows access to broadcasting a push notification message to any user that has this enabled.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:145","Background Color","","",FALSE,"","",""
"social_pwa.routing.yml:0","Broadcast Push Notification","","",FALSE,"","",""
"social_pwa.permissions.yml:0","Broadcast a push notification","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:185","Browser","","",FALSE,"","",""
"js/main.js:0","Choose enable to receive important updates straight away!","","",FALSE,"","",""
"social_pwa.links.menu.yml:0","Configure the Manifest.json output.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:192","Configures if the site should run in <b>Portrait</b> (default) or <b>Landscape</b> mode on the device when being launched from the homescreen.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:113","Disabling the push notifications and PWA will ensure that no user is able to configure and receive push notifications. Nor will any other Progressive Web App functions be available.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:179","Display","","",FALSE,"","",""
"js/main.js:0","Enable","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:111","Enable push notifications and PWA","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:129","Enter the name of your website.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:183","Fullscreen","","",FALSE,"","",""
"social_pwa.install:52","GMP library","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:133","General App Icon","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:104","In order for push notifications and your Progressive Web App to work you will need to configure the settings below.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:195","Landscape","","",FALSE,"","",""
"social_pwa.info.yml:0","Makes the website ""Installable"" like an App on smartphones and enhances it with Service Workers for the use of Push Notifications and an Offline User Experience.","","",FALSE,"","",""
"src/Form/PushNotificationForm.php:83","Message","","",FALSE,"","",""
"src/Form/PushNotificationForm.php:153","Message was successfully sent!","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:126","Name","","",FALSE,"","",""
"social_pwa.install:67","No VAPID keys found.","","",FALSE,"","",""
"social_pwa.install:47","Not installed","","",FALSE,"","",""
"js/main.js:0","Not now","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:190","Orientation","","",FALSE,"","",""
"social_pwa.install:42","PHP GMP library is installed.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:164","Please notice:","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:194","Portrait","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:134","Provide a square (.png) image. This image serves as your icon when the user adds the website to their home screen. <i>Minimum dimensions are 512px by 512px.</i>","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:100","Push notification configuration","","",FALSE,"","",""
"social_pwa.module:206","Push notifications","notifications push","",FALSE,"","",""
"social_pwa.install:72","Push notifications VAPID keys","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:147","Select a background color for the launch screen. This is shown when the user opens the website from their homescreen.","","",FALSE,"","",""
"src/Form/PushNotificationForm.php:93","Send Push Notification","","",FALSE,"","",""
"src/Form/PushNotificationForm.php:64","Send a Push Notification","","",FALSE,"","",""
"social_pwa.links.menu.yml:0","Send push notifications to that have enabled notifications","","",FALSE,"","",""
"src/Form/PushNotificationForm.php:31","Sending push notifications is disabled.","","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:118","Short name","","",FALSE,"","",""
"social_pwa.module:213","Show notifications in the corner of your computer screen, even if the website is closed.","","",FALSE,"","",""
"modules/activity_send_push/activity_send_push.info.yml:0","Social","Social","",FALSE,"","",""
