"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_spam_prevention.module:175","'@entity-type contains words that are not allowed on this platform.
Please contact the site manager for further information.'","","","False","","",""
"social_spam_prevention.module:22","About","À propos","","False","","",""
"social_spam_prevention.permissions.yml:0","Access to spam prevention configuration","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:76","Block users who create spam","","","False","","",""
"social_spam_prevention.links.task.yml:0","Blocked users","","","False","","",""
"social_spam_prevention.permissions.yml:0","Bypass spam prevention","","","False","","",""
"social_spam_prevention.permissions.yml:0","Configure Social Spam Prevention settings","","","False","","",""
"social_spam_prevention.module:171","Content","Contenu","","False","","",""
"social_spam_prevention.permissions.yml:0","Do not block user if he use spam words","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:84","Entity types","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:77","If enabled, the user who create a spam content will be blocked","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:119","List of words considered as a spam (separated with a comma)","","","False","","",""
"social_spam_prevention.info.yml:0","Provides functionality to prevent spam content creation.","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:85","Select content types that need to be spam words checked.","","","False","","",""
"social_spam_prevention.links.menu.yml:0","Set the configuration to spam preventing","","","False","","",""
"social_spam_prevention.links.task.yml:0","Settings","Paramètres","","False","","",""
"social_spam_prevention.info.yml:0","Social","","","False","","",""
"social_spam_prevention.info.yml:0","Social Spam Prevention","","","False","","",""
"social_spam_prevention.routing.yml:0","Spam prevention settings","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:118","Spam words","","","False","","",""
"social_spam_prevention.module:157","The field contains words that are not allowed on this platform.
Please contact the site manager for further information.","","","False","","",""
"social_spam_prevention.module:23","The module provide functionality to prevent spam content creation","","","False","","",""
"social_spam_prevention.module:195","The user %name is blocked.","","","False","","",""
