"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"token.module:295","'%name is using the following invalid tokens: @invalid-tokens.'","'%name utilise les jetons invalides suivants : @invalid-tokens.'","","False","","",""
"token.module:281","'%name must contain at least one token.'","'%name doit contenir au moins un jeton.'","","False","","",""
"token.module:287","'%name must contain at most one token.'","'%name doit contenir au plus un jeton.'","","False","","",""
"token.tokens.inc:1468","'@label tokens.'","'@label jetons.'","","False","","",""
"token.tokens.inc:1451","'@type field.'","Champ @type.","","False","","",""
"token.tokens.inc:1448","'@type field. Also known as %labels.'","Champ @type. Aussi connu comme %labels.","","False","","",""
"token.tokens.inc:1486","'@type type with delta @delta'","Type @type avec le delta @delta","","False","","",""
"token.tokens.inc:113","A date in '@type' format. (%date)","Une date dans le format '@type'. (%date)","","False","","",""
"token.tokens.inc:382","A random hash. The possible hashing algorithms are: @hash-algos.","Un hachage aléatoire. Les algorithmes de hachage possibles sont : @hash-algos.","","False","","",""
"token.tokens.inc:378","A random number from 0 to @max.","Un nombre aléatoire entre 0 et @max.","","False","","",""
"token.module:33","About","A propos","","False","","",""
"token.tokens.inc:313","Absolute URL","URL absolue","","False","","",""
"token.tokens.inc:216","Account cancellation URL","URL d'annulation de compte","","False","","",""
"token.tokens.inc:265","An array of all the menu link's parents, starting with the root.","Une liste de tous les parents du lien de menu, en commençant avec la racine.","","False","","",""
"token.tokens.inc:1106","An array of all the node's parents, starting with the root.","Un tableau avec tous les parents du nœud, en commençant par la racine.","","False","","",""
"token.tokens.inc:179","An array of all the term's parents, starting with the root.","Une liste de tous les termes parents, en commençant avec la racine.","","False","","",""
"token.tokens.inc:326","Arguments","","","False","","",""
"token.tokens.inc:333","Array","Tableau (Array)","","False","","",""
"token.tokens.inc:1068","Attempting to perform token replacement for token type %type without required data","Tentative de remplacement d'un jeton pour le type de jeton %type sans les données requises","","False","","",""
"token.tokens.inc:1090","Author","Auteur","","False","","",""
"src/Controller/TokenTreeController.php:51","Available tokens","Jetons (tokens) disponibles","","False","","",""
"token.module:364","Available variables are: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","Les variables disponibles sont : [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","","False","","",""
"token.tokens.inc:201","Base name","Nom de base","","False","","",""
"token.tokens.inc:1080;1111","Book","Livre","","False","","",""
"token.tokens.inc:317","Brief URL","URL brève","","False","","",""
"token.pages.inc:17","Browse available tokens.","Explorer les jetons disponibles.","","False","","",""
