"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_usercentrics.permissions.yml:0","Allow to set javascript that will loaded on ALL pages.","Permet de définir le javascript qui sera chargé sur TOUTES les pages.","","False","","",""
"src/Form/SocialUserCentricsForm.php:39","Enable User Centrics JS","Activer User Centrics JS","","False","","",""
"src/Form/SocialUserCentricsForm.php:59","Footer","Pied de page","","False","","",""
"src/Form/SocialUserCentricsForm.php:65","Footer region","Région du pied de page","","False","","",""
"src/Form/SocialUserCentricsForm.php:66","Footer region to put the JS in.","Région du pied de page dans laquelle placer le JS.","","False","","",""
"src/Form/SocialUserCentricsForm.php:59","Header","Entête","","False","","",""
"src/Form/SocialUserCentricsForm.php:56","JS Location","Emplacement de la JS","","False","","",""
"social_usercentrics.info.yml:0","Module to insert JS snippet from User Centrics","Module permettant d'insérer un extrait de JS à partir de User Centrics","","False","","",""
"social_usercentrics.permissions.yml:0","Set User Centrics Javascript","Paramétrer les paramètres centraux de l'utilisateur Javascript","","False","","",""
"social_usercentrics.links.menu.yml:0","Settings for User Centric.","Paramètres pour l'approche centrée sur l'utilisateur.","","False","","",""
"social_usercentrics.info.yml:0","Social","Social","","False","","",""
"social_usercentrics.info.yml:0","Social User Centrics","Centres d'utilisateurs sociaux","","False","","",""
"src/Form/SocialUserCentricsForm.php:57","The output location of the User Centrics JS.","L'emplacement de sortie de User Centrics JS.","","False","","",""
"src/Form/SocialUserCentricsForm.php:40","Turn User Centrics JS on or off.","Activer ou désactiver User Centrics JS.","","False","","",""
"social_usercentrics.routing.yml:0","User Centrics","Centriques d'utilisateurs","","False","","",""
"social_usercentrics.links.menu.yml:0","User Centrics JS settings","Paramètres JS de User Centrics","","False","","",""
"src/Form/SocialUserCentricsForm.php:47","User Centrics is a paid service. Register your key at <a href=""@url"">@url</a>","User Centrics est un service payant. Enregistrez votre clé sur <a href=""@url"">@url</a>","","False","","",""
"src/Form/SocialUserCentricsForm.php:46","User Centrics key","Clé Centrics de l'utilisateur","","False","","",""
"social_usercentrics.links.task.yml:0","User Centrics settings","Paramètres Centrics de l'utilisateur","","False","","",""
