"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_saas_core.permissions.yml:0","Access administration dashboard","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Administer SaaS social captcha settings","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Administer SaaS social sharing settings","","",FALSE,"","",""
"social_saas_core.links.menu.yml:0","Administer Social Sharing settings","","",FALSE,"","",""
"social_saas_core.links.menu.yml:0","Administer spam protection settings","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Allows access to the administration dashboard.","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Allows access to the captcha settings form and the ability to turn the captcha for registration on or off.","","",FALSE,"","",""
"social_saas_core.permissions.yml:0","Allows access to the sharing settings form and the ability to turn the sharing buttons on or off.","","",FALSE,"","",""
"social_saas_core.install:887","Could not remove the socialsaas theme.","","",FALSE,"","",""
"src/Form/SaasSocialGeolocationForm.php:74","Enable Geolocation features","","",FALSE,"","",""
"src/Form/SaasSocialGeolocationForm.php:76","Enable it when you want to have Proximity filters and Map features enabled.","","",FALSE,"","",""
"src/Form/SaasSocialSharingForm.php:67","Enable sharing","","",FALSE,"","",""
"src/Form/SaasSocialCaptchaForm.php:93","Enable spam protection (CAPTCHA)","","",FALSE,"","",""
"social_saas_core.module:73","Enabling this setting causes users' first and last name to be hidden on the platform when the user has filled in their nickname. This means that the nickname field needs to be enabled. This setting won't hide the full name of users who didn't fill in a nickname. Only site managers will still see the full name and find users using their first or last name through search or mentions.","","",FALSE,"","",""
"social_saas_core.routing.yml:0","Geolocation","","",FALSE,"","",""
"src/Form/SaasSocialGeolocationForm.php:129","Geolocation has been disabled.","","",FALSE,"","",""
"src/Form/SaasSocialGeolocationForm.php:115","Geolocation has been enabled.","","",FALSE,"","",""
"social_saas_core.links.task.yml:0","Posts","Contributions","",FALSE,"","",""
"social_saas_core.info.yml:0","SaaS","","",FALSE,"","",""
"src/Form/SaasSocialSharingForm.php:75","Save configuration","","",FALSE,"","",""
"config/schema/social_saas_core.settings.yml:0","Social Geolocation settings","","",FALSE,"","",""
"social_saas_core.info.yml:0;0","Social SaaS Core","","",FALSE,"","",""
"social_saas_core.routing.yml:0","Social Sharing settings","","",FALSE,"","",""
"social_saas_core.routing.yml:0","Spam protection (CAPTCHA)","","",FALSE,"","",""
"src/Form/SaasSocialCaptchaForm.php:136","Spam protection has been disabled on the sign up page.","","",FALSE,"","",""
"src/Form/SaasSocialCaptchaForm.php:130","Spam protection has been enabled on the sign up page.","","",FALSE,"","",""
"social_saas_core.install:722","The batch URL Alias update is finished.","","",FALSE,"","",""
"social_saas_core.module:54","To add the event name and the event link use the tokens: <em>[node:title]</em> and <em>[social_event_an_enroll:enrolled_event]</em>","","",FALSE,"","",""
"src/Form/SaasSocialCaptchaForm.php:95","Whether a CAPTCHA check should be added to the user registration form.","","",FALSE,"","",""
"src/Form/SaasSocialSharingForm.php:69","Whether the social sharing buttons should be enabled for public content.","","",FALSE,"","",""
