"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Access/GroupPermissions.php:48","'%type_name: Create new group'","","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0;0;0;0",",","","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","'- All -'","'- Tout -'","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","<a href=""/group/{{ gid }}/content/{{ id }}/approve-membership?destination=/group/{{ gid }}/members-pending"">Approve membership</a>","","",FALSE,"","",""
"modules/grequest/config/optional/views.view.group_pending_members.yml:0","<a href=""/group/{{ gid }}/content/{{ id }}/reject-membership?destination=/group/{{ gid }}/members-pending"">Reject Membership</a>","","",FALSE,"","",""
"src/Entity/Controller/GroupTypeController.php:102","<em>* These plugins are set to be always on by their providing module.</em>","","",FALSE,"","",""
"src/Form/GroupPermissionsTypeSpecificForm.php:66","<strong>Anonymous:</strong> This is the same as the global Anonymous role, meaning the user has no account.","","",FALSE,"","",""
"src/Form/GroupPermissionsTypeSpecificForm.php:68","<strong>Member:</strong> The default role for anyone in the group. Behaves like the ""Authenticated user"" role does globally.","","",FALSE,"","",""
"src/Form/GroupPermissionsTypeSpecificForm.php:67","<strong>Outsider:</strong> This means the user has an account on the site, but is not a member of the group.","","",FALSE,"","",""
"src/Entity/Views/GroupContentViewsData.php:96","'@entity_type from group content'","","",FALSE,"","",""
"group.views.inc:48","'@entity_type group content'","","",FALSE,"","",""
"modules/ginvite/src/Form/BulkGroupInvitationConfirm.php:179","'@err'","","",FALSE,"","",""
"src/Entity/Form/GroupForm.php:109","'@type %title has been created.'","Le contenu '%title', de type '@type', a été créé.","",FALSE,"","",""
"src/Entity/Form/GroupDeleteForm.php:48","'@type %title has been deleted.'","Le contenu '%title', de type '@type', a été supprimé.","",FALSE,"","",""
"src/Entity/Form/GroupForm.php:108","'@type %title has been updated.'","""%title"" a été mis à jour.","",FALSE,"","",""
"src/Entity/Form/GroupDeleteForm.php:47","'@type: deleted %title.'","'@type : %title supprimé.'","",FALSE,"","",""
"group.module:235;254","A list of all the groups referencing this entity.","","",FALSE,"","",""
"group.tokens.inc:121","A prettier way of labeling group content of the same plugin type.","","",FALSE,"","",""
"src/Entity/Form/GroupRoleForm.php:73","A unique machine-readable name for this group role. It must only contain lowercase letters, numbers, and underscores.","Un nom système unique pour ce rôle de groupe. Il ne doit contenir que des lettres minuscules, des nombres et des tirets bas.","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:77","A unique machine-readable name for this group type. It must only contain lowercase letters, numbers, and underscores. This name will be used for constructing the URL of the %group-add page, in which underscores will be converted into hyphens.","","",FALSE,"","",""
"modules/ginvite/config/optional/views.view.my_invitations.yml:0;0","Accept","Accepter","",FALSE,"","",""
"modules/ginvite/ginvite.routing.yml:0","Accept invitation and join group","","",FALSE,"","",""
"group.group.permissions.yml:0","Access all entities overview","","",FALSE,"","",""
"modules/gnode/gnode.group.permissions.yml:0","Access group node overview","","",FALSE,"","",""
"group.permissions.yml:0","Access the Group overview page","","",FALSE,"","",""
"modules/gnode/gnode.group.permissions.yml:0","Access the overview of all group nodes, regardless of node type","","",FALSE,"","",""
"src/Plugin/views/access/GroupPermission.php:16","Access will be granted to users with the specified group permission string.","","",FALSE,"","",""
"src/Entity/Controller/GroupController.php:137","Add @group_type_label","Créer un @group_type_label","",FALSE,"","",""
"src/Entity/Controller/GroupContentController.php:255;379","Add @name","Créer un @name","",FALSE,"","",""
"modules/gnode/src/Plugin/GroupContentEnabler/GroupNode.php:49","Add @type","Créer un @type","",FALSE,"","",""
"modules/gnode/gnode.links.action.yml:0","Add existing content","","",FALSE,"","",""
"modules/gnode/src/Controller/GroupNodeController.php:79","Add existing content of type %node_type to the group.","","",FALSE,"","",""
"group.links.action.yml:0","Add existing entity","","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:63;78","Add group","Créer un nouveau groupe","",FALSE,"","",""
"group.links.action.yml:0","Add group role","","",FALSE,"","",""
"group.links.action.yml:0","Add group type","","",FALSE,"","",""
"group.links.action.yml:0","Add member","Ajouter un membre","",FALSE,"","",""
"src/Entity/Form/GroupContentForm.php:107","Add new @entity_type to @group","Ajouter un nouveau @entity_type dans @group","",FALSE,"","",""
"modules/gnode/gnode.links.action.yml:0","Add new content","Ajouter un nouveau contenu","",FALSE,"","",""
"modules/gnode/src/Controller/GroupNodeController.php:78","Add new content of type %node_type to the group.","Ajouter un nouveau contenu du type %node_type sur le groupe.","",FALSE,"","",""
"group.links.action.yml:0","Add new entity","","",FALSE,"","",""
"src/Entity/Form/GroupRoleForm.php:128","Added group role %label.","","",FALSE,"","",""
"src/Entity/Form/GroupTypeForm.php:220","Added group type %label.","","",FALSE,"","",""
