"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/EuCookieComplianceConfigForm.php:290","""Accept all categories"" button label","""Accepter toutes les catégories"" étiquette du bouton","",FALSE,"","",""
"src/Form/EuCookieComplianceConfigForm.php:276","""Save preferences"" button label","""Enregistrer les préférences"" étiquette du bouton","",FALSE,"","",""
"src/Form/EuCookieComplianceConfigForm.php:653","""Thank you"" banner message","Message de bannière ""Merci""","",FALSE,"","",""
"eu_cookie_compliance.module:691","'%name must be a HEX value (without leading #) or empty.'","","",FALSE,"","",""
"config/install/eu_cookie_compliance.settings.yml:0","<front>","","",FALSE,"","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>Thank you for accepting cookies</h2><p>You can now hide this message or find out more about cookies.</p>","<h2>Merci d'avoir accepté les cookies</h2><p>Vous pouvez ferler ce message ou en savoir plus sur les cookies.</p>","",FALSE,"","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>By clicking the Accept button, you agree to us doing so.</p>","<h2>Nous utilisons des cookies sur ce site pour améliorer votre expérience de navigation</h2><p>En cliquant sur le bouton Accepter, vous acceptez leur utilisation.</p>","",FALSE,"","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>By tapping the Accept button, you agree to us doing so.</p>","<h2>Nous utilisons des cookies sur ce site pour améliorer votre expérience de navigation</h2><p>En cliquant sur le bouton Accepter, vous acceptez leur utilisation.</p>","",FALSE,"","",""
"config/install/eu_cookie_compliance.settings.yml:0","<h2>We use cookies on this site to enhance your user experience</h2><p>You have given your consent for us to set cookies.</p>","<h2>Nous utilisons des cookies sur ce site pour améliorer votre expérience de navigation</h2><p>Vous avez donné votre consentement pour paramétrer les cookies.</p>","",FALSE,"","",""
"src/Form/EuCookieComplianceConfigForm.php:339","<span class='eu-cookie-compliance-word-break'>Include the full path of JavaScripts, each on a separate line. When using the opt-in or opt-out consent options, you can block certain JavaScript files from being loaded when consent isn't given. The on-site JavaScripts should be written as root relative paths <strong>without the leading slash</strong>, you can use public://path/to/file.js and private://path/to/file.js, and off-site JavaScripts should be written as complete URLs <strong>with the leading http(s)://</strong>. Note that after the user gives consent, the scripts will be executed in the order you enter here.<br /><br />Libraries and scripts that attach to Drupal.behaviors are supported. To indicate a behavior that needs to be loaded on consent, append the behavior name after the script with a | (vertical bar). If you also want to conditionally load a library, place that as the third parameter, following another | (vertical bar). <strong>Example: modules/custom/custom_module/js/custom.js|customModule|custom_module/custom_module</strong>.<br />If your script file does not attach to Drupal.attributes, you may skip the second parameter. <strong>Example: modules/custom/custom_module/js/custom.js||custom_module/custom_module</strong><br /><strong>Note that Drupal behavior name and library parameters are both optional</strong>, but may be required to achieve your objective.</span>","","",FALSE,"","",""
"src/Form/EuCookieComplianceConfigForm.php:1083;1087;1091","'@name field is required'","le champs @name est nécessaire","",FALSE,"","",""
