"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"embed.module:33","A CKEditor button with ID %id already exists.","Un tasto CKEditor con ID %id già esiste.","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:90","A unique machine-readable name for this embed button. It must only contain lowercase letters, numbers, and underscores.","","",FALSE,"","",""
"embed.routing.yml:0","Add embed button","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:228","Added embed button %label.","","",FALSE,"","",""
"embed.permissions.yml:0","Administer embed buttons","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Base-64 encoded image contents","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:132","Button icon","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:149","Current icon preview","","",FALSE,"","",""
"embed.routing.yml:0","Delete embed button","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Deprecated icon image file entity UUID","","",FALSE,"","",""
"embed.routing.yml:0","Edit embed button","","",FALSE,"","",""
"embed.info.yml:0","Embed","Integra","",FALSE,"","",""
"src/Entity/EmbedButton.php:11","Embed button","","",FALSE,"","",""
"embed.routing.yml:0","Embed buttons","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Embed settings","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:95","Embed type","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Embed type plugin ID","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Embed type settings","","",FALSE,"","",""
"src/Form/EmbedSettingsForm.php:78","File directory","Cartella file","",FALSE,"","",""
"config/schema/embed.schema.yml:0","File scheme for button icons","","",FALSE,"","",""
"src/EmbedButtonListBuilder.php:21","Icon","Icona","",FALSE,"","",""
"src/EmbedButtonListBuilder.php:39","Icon for the @label button.","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Image file URI","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Image icon data","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:74","Label","Etichetta","",FALSE,"","",""
"embed.links.task.yml:0","List","Elenco","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Machine name","Nome ad uso interno","",FALSE,"","",""
"embed.links.menu.yml:0","Manage text editor embed buttons.","","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Name","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:106","No embed types found.","","",FALSE,"","",""
"src/EmbedButtonListBuilder.php:43","None","nessuno","",FALSE,"","",""
"src/Form/EmbedSettingsForm.php:80","Optional subdirectory within the upload destination where files will be stored. Do not include preceding or trailing slashes.","Sottocartella opzionale all'interno della destinazione del file da caricare. Non includere slash iniziali o finali.","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:154","Preview of @label button icon","","",FALSE,"","",""
"embed.info.yml:0","Provides a framework for different types of embeds in text editors.","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:143","Reset to default icon","","",FALSE,"","",""
"src/Form/EmbedSettingsForm.php:73","Select where the uploaded button icon files should be stored.","","",FALSE,"","",""
"embed.routing.yml:0","Settings","Impostazioni","",FALSE,"","",""
"embed.links.menu.yml:0","Text editor embed buttons","","",FALSE,"","",""
"embed.module:105","The %filter-label filter must be enabled to use the %button button.","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:227","The embed button %label has been added.","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:223","The embed button %label has been updated.","","",FALSE,"","",""
"embed.post_update.php:30","The embed button @label had an uploaded icon image file with UUID @uuid, but it no longer exists in the database. It has been reverted back to the default button icon and you may wish to re-upload a new version.","","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:77","The human-readable name of this embed button. This text will be displayed when the user hovers over the CKEditor button. This name must be unique.","","",FALSE,"","",""
"src/Entity/EmbedButton.php:101","Unknown","Sconosciuto","",FALSE,"","",""
"src/Form/EmbedButtonForm.php:224","Updated embed button %label.","","",FALSE,"","",""
"src/Form/EmbedSettingsForm.php:70","Upload destination","Destinazione file caricati","",FALSE,"","",""
"config/schema/embed.schema.yml:0","Upload directory for button icons","","",FALSE,"","",""
