"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:102","Add to every role except the selected ones","Abilita per tutti i ruoli eccetto quelli selezionati","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:101","Add to the selected roles only","Abilita solo per i ruoli selezionati","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:99","Add tracking for specific roles","Abilita la tracciabilità per ruoli specifici","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:75","Add tracking to specific pages","Aggiungi la tracciabilità (tracking) a specifiche pagine","","False","","",""
"hubspot_analytics.permissions.yml:0","Administer HubSpot Analytics","","","False","","",""
"hubspot_analytics.info.yml:0","Allows your site to be tracked by HubSpot Analytics by adding a Javascript tracking code to every page.","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:64","Every page except the listed pages","Tutte le pagine eccetto quelle selezionate","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:35","General settings","Impostazioni generali","","False","","",""
"hubspot_analytics.routing.yml:0","HubSpot Analytics","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:44","HubSpot portal ID","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:111","If none of the roles are selected, all users will be tracked. If a user has any of the roles checked, that user will be tracked (or excluded, depending on the setting above).","Se non è stato scelto alcun ruolo, tutti gli utenti saranno tracciati. Se un utente ha uno dei ruoli selezionati, sarà tracciato (o escluso, a seconda dei parametri precedenti).","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:59;81","Pages","Pagine","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:130","Path ""@page"" not prefixed with slash.","","","False","","",""
"hubspot_analytics.permissions.yml:0","Perform maintenance tasks for HubSpot Analytics.","","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:93;108","Roles","Ruoli","","False","","",""
"hubspot_analytics.links.task.yml:0","Settings","Impostazioni","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:67","Specify pages by using their paths. Enter one path per line. The '*' character is a wildcard. Example paths are %blog for the blog page and %blog-wildcard for every personal blog. %front is the front page.","Specificare le pagine usando i rispettivi percorsi. Inserire un percorso per riga. Usare '*' come carattere jolly. Alcuni percorsi di esempio possono essere %blog per la pagina del blog e %blog-wildcard per i blog personali. %front è la prima pagina.","","False","","",""
"hubspot_analytics.info.yml:0","Statistics","Statistiche","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:65","The listed pages only","Solo le pagine selezionate","","False","","",""
"src/Form/HubSpotAnalyticsAdminSettingsForm.php:51","Tracking scope","Perimetro del tracciamento","","False","","",""
