"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"admin_toolbar_search/src/SearchLinks.php:134","'@entity_type > @bundle'","","","False","","",""
"admin_toolbar_search/admin_toolbar_search.module:20","About","Informazioni","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:454","Add contact form","Aggiungi un form di contatto","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:324","Add content","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:318","Add content type","Aggiungi un tipo di contenuto","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:435","Add custom block","Aggiungere un blocco personalizzato","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:345","Add form mode","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:609","Add language","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:398","Add link","Aggiungi link","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:637","Add media","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:618","Add media type","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:367","Add menu","Aggiungi menù","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:253","Add role","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:232","Add user","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:564","Add view","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:350","Add view mode","","","False","","",""
"admin_toolbar_tools/src/Plugin/Derivative/ExtraLinks.php:358","Add vocabulary","Aggiungi vocabolario","","False","","",""
"admin_toolbar_tools/admin_toolbar_tools.info.yml:0","Adds menu links like Flush cache, Run cron, Run updates, and Logout under Drupal icon.","","","False","","",""
"admin_toolbar.links.menu.yml:0","Admin Toolbar","","","False","","",""
"admin_toolbar_tools/admin_toolbar_tools.info.yml:0","Admin Toolbar Extra Tools","","","False","","",""
"admin_toolbar_links_access_filter/admin_toolbar_links_access_filter.info.yml:0","Admin Toolbar Links Access Filter","","","False","","",""
"admin_toolbar_search/admin_toolbar_search.links.menu.yml:0","Admin Toolbar Search","","","False","","",""
"admin_toolbar_search/config/schema/admin_toolbar_search.schema.yml:0","Admin Toolbar Search settings","","","False","","",""
"admin_toolbar_tools/admin_toolbar_tools.links.menu.yml:0","Admin Toolbar Tools","","","False","","",""
