"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"gpde_volunteer.permissions.yml:0","Administer Volunteer settings","Amministra le impostazioni di volontar@","",FALSE,"","",""
"gpde_volunteer.permissions.yml:0","Configure what happens with the Volunteer role upon group or membership changes.","Configura ciò che accade con il ruolo di volontari@ in caso di modifiche al gruppo o all'appartenenza.","",FALSE,"","",""
"gpde_volunteer.info.yml:0","GPDE Volunteer","GPIT Volontari@","",FALSE,"","",""
"config/schema/gpde_volunteer.schema.yml:0","GPDE Volunteer settings","Impostazioni GPIT Volontar@","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:73","Profile Organization Tag","Tag organizzazione profilo","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:58","Profile Tag","Tag profilo","",FALSE,"","",""
"gpde_volunteer.info.yml:0","Provides a volunteer role and adds it to users","Fornisce un ruolo di volontar@ e lo aggiunge agli utenti","",FALSE,"","",""
"gpde_volunteer.links.menu.yml:0","Settings for GPDE Volunteer module.","Impostazioni per il modulo Volontario GPDE.","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:74","The Profile Organization Tag users get assigned when they join a Local group. You can change the name of the tag via the Taxonomy overview.","Gli utenti ricevono il Tag dell'organizzazione quando si uniscono ad un Gruppo Locale. Puoi modificare il nome del tag tramite la panoramica della tassonomia.","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:59","The Profile Tag users get assigned when they join a Local group. You can change the name of the tag via the Taxonomy overview.","Gli utenti ricevono il Tag sul profilo quando si uniscono a un gruppo locale. Puoi modificare il nome del tag tramite la panoramica della tassonomia.","",FALSE,"","",""
"config/schema/gpde_volunteer.schema.yml:0","The Taxonomy term ID of the Profile Organization Tag volunteers receive when they join a Local group","L'ID del termine della tassonomia del tag dell'organizzazione del profilo che i volontari ricevono quando si uniscono a un gruppo locale","",FALSE,"","",""
"config/schema/gpde_volunteer.schema.yml:0","The Taxonomy term ID of the Profile Tag volunteers receive when they join a Local group","L'ID del termine della tassonomia del tag del profilo che i volontari ricevono quando si uniscono a un gruppo locale","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:44","Users lose the Volunteer role when a group is deleted or they leave","Gli utenti perdono il ruolo di volontario quando un gruppo viene eliminato o se ne vanno","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:37","Users lose the Volunteer role when a group is no longer a Local group","Gli utenti perdono il ruolo di volontario quando un gruppo non è più un gruppo locale","",FALSE,"","",""
"src/Plugin/QueueWorker/VolunteerEvaluationQueue.php:11","Volunteer Evalator Queue Worker","","",FALSE,"","",""
"src/VolunteerRoleService.php:133","Volunteer role could not be assigned to @user_id.","Il ruolo Volontario non può essere assegnato all'utente @user_id.","",FALSE,"","",""
"src/VolunteerRoleService.php:164","Volunteer role could not be removed from @user_id.","Il ruolo di volontario non può essere rimosso da @user_id.","",FALSE,"","",""
"gpde_volunteer.routing.yml:0","Volunteer settings","Impostazioni Volontario","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:38","When Site Managers decide the group is no longer a Local group, members will lose the Volunteer role if they are not a member of any other Local group.","Quando un Amministratore del sito decide che un gruppo non è più un Gruppo Locale i membri perderanno il ruolo di Volontario se non sono membri di un altro Gruppo Locale.","",FALSE,"","",""
"src/Form/VolunteerSettingsForm.php:45","When a group is deleted or a user leaves the group, the user will lose the Volunteer role if they are not a member of any other Local group.","Quando un gruppo viene cancellato o un utente esce dal gruppo, perderà il ruolo di Volontario se non è membro di un altro gruppo che assegna tale ruolo.","",FALSE,"","",""
"config/schema/gpde_volunteer.schema.yml:0","Whether users lose the Volunteer role when a group is deleted or they leave","Indica se gli utenti perdono il ruolo di volontario quando un gruppo viene eliminato o se lo abbandonano","",FALSE,"","",""
"config/schema/gpde_volunteer.schema.yml:0","Whether users lose the Volunteer role when a group is no longer a Local group","Indica se gli utenti perdono il ruolo di volontario quando un gruppo non è più un gruppo locale","",FALSE,"","",""
"gpde_volunteer.info.yml:0","gpde","gpit","",FALSE,"","",""
