"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"editor_advanced_link.module:88","ARIA label","","","False","","",""
"editor_advanced_link.info.yml:0","Add title, target etc. attributes to Text Editor's link dialog if the text format allows them.","","","False","","",""
"editor_advanced_link.module:81","Advanced","","","False","","",""
"editor_advanced_link.info.yml:0","Advanced Link","","","False","","",""
"editor_advanced_link.module:109","Allows linking to this content using a <a href=""https://en.wikipedia.org/wiki/Fragment_identifier"" target=""_blank"">URL fragment</a>. Must be unique.","","","False","","",""
"editor_advanced_link.module:98","CSS classes","","","False","","",""
"editor_advanced_link.module:108","ID","","","False","","",""
"editor_advanced_link.module:99","List of CSS classes to add to the link, separated by spaces.","","","False","","",""
"editor_advanced_link.module:129","Often used by JS galleries. When opening links in new windows/tabs, it is advised to add the noopener attribute due to security concerns.","","","False","","",""
"editor_advanced_link.module:117","Open in new window/tab","","","False","","",""
"editor_advanced_link.module:72","Populates the title attribute of the link, usually shown as a small tooltip on hover.","","","False","","",""
"editor_advanced_link.module:89","Provide an alternative text value/label for assistive technologies.","","","False","","",""
"editor_advanced_link.module:128","Relation (rel)","","","False","","",""
"editor_advanced_link.module:119","See WCAG guidance on <a href=""https://www.w3.org/WAI/WCAG21/Techniques/general/G200"" target=""_blank"">opening links in new windows/tabs</a>.","","","False","","",""
"editor_advanced_link.module:71","Title","Titolo","","False","","",""
"js/editor_advanced_link.js:0","the noopener attribute has been added to rel","","","False","","",""
"js/editor_advanced_link.js:0","the noopener attribute has been removed from rel","","","False","","",""
