"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"sticky_comment.info.yml:0","Adds an ability of making sticky comments.","","",FALSE,"","",""
"src/Form/UnstickyForm.php:62","Cancel","Annulla","",FALSE,"","",""
"src/Form/StickyForm.php:34","Do you want to make this comment sticky on the top?","Vuoi mettere in evidenza in cima a tutto questo commento?","",FALSE,"","",""
"src/Form/UnstickyForm.php:34","Do you you want return this comment to a normal position?","Vuoi far tornare questo commento alla sua normale posizione?","",FALSE,"","",""
"sticky_comment.routing.yml:0","Make comment sticky","Metti il commento in evidenza","",FALSE,"","",""
"src/Form/StickyForm.php:48","Make sticky","Metti in evidenza","",FALSE,"","",""
"src/Form/UnstickyForm.php:48","Make unsticky","Elimina evidenza","",FALSE,"","",""
"src/Form/StickyForm.php:41","Replies on this comment will also be sticky on the top. If there is another sticky comment, it will be shown as normal comment.","Le risposte a questo commento saranno in evidenza. Se c'è un altro commento in evidenza, verrà mostrato come normale commento.","",FALSE,"","",""
"sticky_comment.info.yml:0","Social","","",FALSE,"","",""
"sticky_comment.info.yml:0","Sticky Comment","Commento in evidenza","",FALSE,"","",""
"src/Entity/Comment.php:52","Sticky at top of list","In evidenza in cima alla lista","",FALSE,"","",""
"src/Form/UnstickyForm.php:41","This comment will be shown as normal comment.","Questo commento sarà mostrato come normale commento.","",FALSE,"","",""
"sticky_comment.module:77","Unsticky","Non in evidenza","",FALSE,"","",""
"sticky_comment.routing.yml:0","Unsticky comment","Commento non in evidenza","",FALSE,"","",""
