"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/core.entity_view_mode.poll.block.yml:0","Block","Blocco","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:14","Lists (Views)","Elenchi (visualizzazioni)","","False","","",""
"templates/block--social-poll-recent-block.html.twig:38","Most recent Poll","Sondaggio più recente","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:14","Most recent poll","Sondaggio più recente","","False","","",""
"config/optional/field.field.paragraph.poll_item.field_poll.yml:0","Poll","Sondaggio","","False","","",""
"config/optional/paragraphs.paragraphs_type.poll_item.yml:0","Poll item","Elemento del sondaggio","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:74","Select a poll you would like to show in the block, leave it empty to show the most recently created.","Seleziona un sondaggio che desideri mostrare nel blocco, lascialo vuoto per mostrare l'ultimo creato.","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:73","Select a poll.","Seleziona un sondaggio.","","False","","",""
"social_poll.info.yml:0","Social","Social","","False","","",""
"social_poll.info.yml:0;0","Social Poll","Sondaggio Social","","False","","",""
